"region","date","import_status","cases"
"Yucatan","2020-05-28","local",1
"Yucatan","2020-05-29","local",1
"Yucatan","2020-06-01","local",1
"Yucatan","2020-06-02","local",1
"Yucatan","2020-06-03","local",4
"Zacatecas","2020-05-05","local",1
"Zacatecas","2020-05-10","local",1
"Zacatecas","2020-05-12","local",1
"Zacatecas","2020-05-18","local",1
"Zacatecas","2020-05-26","local",1
"Zacatecas","2020-05-28","local",2
"Zacatecas","2020-06-01","local",1
"Zacatecas","2020-06-03","local",1
